[2016-01-01 11:01:59.112] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:01:59.862] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:00.412] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:00.912] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:01.162] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:01.462] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:01.812] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:02.277] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:02.462] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:02.667] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:02.962] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:03.362] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:03.562] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:03.771] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:03.962] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:04.162] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:04.512] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:04.862] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:05.062] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:05.265] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:05.712] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:05.962] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:06.112] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:06.362] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:06.862] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:07.012] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:07.213] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:07.412] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:07.712] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:08.014] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:08.214] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:08.464] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:08.614] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:08.864] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:09.064] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:09.314] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:09.564] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:09.864] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:10.014] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:10.215] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:10.464] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:10.714] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:10.864] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:11.014] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:11.214] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:11.415] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:11.664] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:11.864] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:12.014] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
